,time,total_views,stream_viewers
0,2019-04-07 09:25:08.448373,102778000,43237
0,2019-04-07 09:40:10.364540,102778000,48123
0,2019-04-07 09:55:10.756756,102825336,69513
0,2019-04-07 10:10:11.505477,102865348,67421
0,2019-04-07 10:25:12.123490,102865348,67049
0,2019-04-07 10:40:12.565756,102865348,65534
0,2019-04-07 10:55:12.995724,102916286,66526
0,2019-04-07 11:10:13.424882,102959200,64222
0,2019-04-07 11:25:15.685417,102959200,59524
0,2019-04-07 11:40:19.945239,102999904,71791
0,2019-04-07 11:55:20.381512,102999904,63227
0,2019-04-07 12:10:21.999042,103048211,62241
0,2019-04-07 12:25:22.518417,103048211,75083
0,2019-04-07 12:40:22.970152,103091127,72447
0,2019-04-07 12:55:25.764398,103091127,64829
0,2019-04-07 13:10:26.265033,103135609,73306
0,2019-04-07 13:25:26.693758,103135609,86466
0,2019-04-07 13:40:27.160245,103180201,82391
0,2019-04-07 13:55:27.813894,103180201,89730
0,2019-04-07 14:10:28.278035,103229084,86238
0,2019-04-07 14:25:28.692358,103229084,107335
0,2019-04-07 14:40:29.112985,103273622,98236
0,2019-04-07 14:55:29.575775,103273622,96264
0,2019-04-07 15:10:29.984388,103319502,114207
0,2019-04-07 15:25:30.425834,103319502,96311
0,2019-04-07 15:40:30.860162,103366975,83847
0,2019-04-07 15:55:31.824349,103366975,77831
0,2019-04-07 16:10:32.233732,103410242,85289
0,2019-04-07 16:25:34.555349,103410242,77095
0,2019-04-07 16:40:35.047597,103446359,76290
