,time,follower_count
0,2019-04-07 09:25:10.860598,13894431
0,2019-04-07 09:40:11.350530,13894535
0,2019-04-07 09:55:12.304866,13894587
0,2019-04-07 10:10:12.984810,13894647
0,2019-04-07 10:25:13.659915,13894799
0,2019-04-07 10:40:14.306723,13894881
0,2019-04-07 10:55:15.574055,13894991
0,2019-04-07 11:10:16.299356,13895111
0,2019-04-07 11:25:16.748878,13895221
0,2019-04-07 11:40:20.191653,13895359
0,2019-04-07 11:55:20.830664,13895511
0,2019-04-07 12:10:21.971160,13895639
0,2019-04-07 12:25:22.659526,13895781
0,2019-04-07 12:40:23.179294,13895913
0,2019-04-07 12:55:25.895989,13896058
0,2019-04-07 13:10:26.362908,13896155
0,2019-04-07 13:25:27.251356,13896257
0,2019-04-07 13:40:28.042681,13896340
0,2019-04-07 13:55:28.666662,13896436
0,2019-04-07 14:10:29.075632,13896520
0,2019-04-07 14:25:29.754226,13896582
0,2019-04-07 14:40:30.776636,13896672
0,2019-04-07 14:55:31.213630,13896736
0,2019-04-07 15:10:31.679355,13896807
0,2019-04-07 15:25:32.299541,13896860
0,2019-04-07 15:40:32.869314,13896893
0,2019-04-07 15:55:33.588255,13896938
0,2019-04-07 16:10:33.997198,13896971
0,2019-04-07 16:25:34.632092,13896997
0,2019-04-07 16:40:35.074167,13897024
